Italian word,English translation
braccio,arm
fermati,stop
stavamo,we were
crimine,criminal act / criminal offense / crime
andrà,will get back / fit / will be slow
chiesa,church
effetti,appearance / show / effect / impression / sensation
tenente,lieutenant
sapevi,you knew
scrivere,writing / types / to write to each other
scommetto,To bet or wager
paziente,patient
scarpe,shoe
livello,level's / (I) level off / degree
fermi,A family name
ia,AI (Italian acronym)
lunga,long (f.)
mentito,fake / sham / imitation / false
viva,hooray! / long live ... ! / three cheers for ... !
spettacolo,entertainment / show / play
usa,USA
visita,visit
alcun,any (apocopated)
precedenti,former / preceding / previous / foregoing / earlier / precedent
diventato,to become / go / to grow
mica,at all / bit / by any chance
sinistra,left
percio,so / therefore / consequently / thus
processo,process / process / course / method
mare,sea / ocean / seaside
direttore,directors / curator / guide’s
intelligente,bright / sharp / smart
rende,To be profitable / To give back / to return / To make
comprato,to buy
classe,classroom / class / grade
ehm,um / er
cambio,change / exchange / gear
scorsa,last (f.)
farla,to do / to make
bianco,white wine / blanc / white
tavolo,table / tables
stagione,season
dite,you (pl.) say
dannazione,damnation / damn / dammit / gee / blimey
cavallo,they go horseback riding / horse / horses
sergente,sergeant
incinta,pregnant (f.)
rotto,broken / cracked / fractured
aiuti,help! / mayday! / help / assistance / aid
episodio,episode
rispondere,rsvp / answer / answer back
contento,contentment / happier / happy
conoscere,offers / offered / know
inglese,English
volo,(I) rush / (I) fall / (I) blow around
attraverso,through / (I) go across / (I) pierce
riesce,to be able to / to manage to / to be / to prove / to find
differenza,difference
apri,you open
passi,footprint / footstep / gauge
uscito,gone out
coi,with the (m. pl.)
codice,manuscript / code / codex
lato,side
hotel,hotel / albergo / hotels
maggiore,bigger / greater / biggest / greatest / greater than
farsi,reflexive form of fare / to become / to cop off with
uniti,one
trovata,found (f.)
eccolo,here it is
carne,meat
lavorato,carved / cultivated [land] / finished [product]
star,star
umano,human / humane / compassionate / human being
certa,of course / certain
miglior,apocopic form of migliore
averti,to have
de,apocopic form of del
pagato,paid
libera,free (f.)
avrà,will have / kept / must have
vorrebbe,like / he'd like / he would like
caldo,hot / warm / friendly
pelle,fell / peel / casing
interno,(I) confine / house officer / (I) intern
temo,to beware / to fear
leggere,read / reading / light
comandante,commander / commandant / captain
cerco,to look for / to try
avrebbero,they would have
pomeriggio,afternoon / afternoon's
documenti,document
farei,I would do
giudice,A monarch of a medieval kingdom in Sardinia / judge / magistrate
mostro,monster / present / monster's
destra,right
luna,moon / month
ringrazio,to thank
guardando,looking
pericoloso,hazardous / ugly / perilous
buone,good (f. pl.)
affare,affair / matter / deal / bargain / business
figliolo,son
vino,wine
passa,footprint / footstep / gauge
presente,present / this [formal] / gift / present
ordini,order
arrivederci,goodbye
caffè,coffee
barca,shock / mow / stack
maledizione,curse / spell / malediction / bane
nuovi,new (m. pl.)
vederlo,to see
lezione,class / lecture / lesson
intero,wholly / full / complete
dia,give (subj.)
partire,driven / to depart / drive
venuti,come (p.p. of venire)
sogni,dreams
chiedendo,to ask / to request
alta,tall / high (f.)
nord,north
pensate,you (pl.) think
parlarti,to speak / talk
perciò,so / therefore / consequently / thus
congratulazioni,congratulations
data,(you) date back / (you) date / day
sposato,married / wedded
gliel',apocopic form of gliela / apocopic form of glielo
sembrare,feel / felt / come
treno,train / carriage / set
radio,radio
l,See under L
comune,common / ordinary / commune
cattivo,unhealty / mean / unkind
imparato,to learn
smettere,gave / stopped / cease
ottima,very good / very fine / excellent / perfect / splendid / optimum
aiutarmi,to help / assist
ama,loves
intera,complete / full / total / intact / whole / entire
responsabile,directors / curator / culprit
abbiano,they have (subj.)
lascio,I leave
farcela,to bring something to a successful conclusion / to hack / to succeed
bomba,bomb
agenti,agent / representative
belle,beautiful (f. pl.)
m',me (elided)
pochi,few / little / not many
san,saint (apocopated)
clienti,client / customer / guest
periodo,age / epoch / moment / period / time / span / run
energia,driven / drive / strength
segno,indication / mark / scratch / sign
mangiato,eaten
calmati,calm down
chiudi,you close
posti,places
accidenti,Good heavens! etc / Damn it! etc / wow
bellissimo,superlative form of bello
quegli,that man / that / those
dovrebbero,(they) should / should / ought
vivi,alive / live / brisk / animate / vivacious / vivid / intense / brilliant
speranza,hope
rischio,risk / chance / hazard / peril / danger
caffe,a cafe / coffee
rosso,red / red wine
soprattutto,above all / most of all / chiefly
combattere,to fight / to battle / to shrive / to fight / to combat
tocca,trimmings / touches
operazione,operation / process / surgery
zia,aunt / aunt's / auntie's
sexy,sexy
gamba,stem / leg
biglietto,fare / note / tickets
pazza,crazy / insane / madman (f.)
ufficiale,official / officer
vorresti,you would want / you would need / you would wish
vincere,breaks / broken / overcomes
gambe,leg / leg / stroke
pressione,pressure / leverage / steam / blood pressure
farle,to do / to make
seguito,popular / successful / followers / supporters / following / audience
nascosto,hidden
maestro,master / teacher / teachers
fantastica,fantastic / wonderful / great / terrific
benvenuto,welcome
sarebbero,they would be
offerta,offer / offered (f.)
ami,you love
vite,lives
scherzo,joke / jest / trick / hoax / frolic / scherzo
qualcos',apocopic form of qualcosa
finta,pretence / feint / dummy
testimone,witness / baton
fratelli,siblings
banca,bank / bank's
aprire,began / breaks / broken
potesse,could (subj.)
stronzate,rubbish / shit / bullshit
indirizzo,address
tale,such
ottenere,to obtain / to reach / achieve / gain
potessi,I/you could (subj.)
esperienza,relationship / practice / experience
portata,capacity / course / plate / flow
messa,mass / put (f.)
piangere,(to) to grieve over / grieve over / (to) to weep
segreti,secret / secret
scorso,gone through / scrolled / last
lasciate,to leave / let
andremo,go / let / we'll go
sud,south
uccisa,killed (f.)
darmi,to give
torni,you return
pianeta,planet
darti,to give
inoltre,besides / furthermore / as well
serie,series
esci,you go out
vittime,victim
diversi,several
porca,terrible / pig / pork
guida,guides / drive / guide’s
prezzo,price tag / price label / I price
strana,strange / odd / dodgy / whimsical
arrabbiato,got angry / maddest / gotten angry
vecchi,old (m. pl.)
verrà,will come / will yet to come / will fade
orribile,dirty / terrible / dirtiest
gesu,Jesus! / Jesus
ritorno,comeback / return / change [money received after payment]
entrato,to enter / to go in
animali,soul
enorme,huge / enormous / vast
metto,I put
passaggio,passed / passing / pass
imparare,let's / learn / learning
progetto,project / I plan / jobs
danno,return / hold / damage
naturalmente,naturally
colpevole,guilty / culprit
ragazzino,young boy / little boy / kid / teenager
metri,subway [US] / underground [UK] / Tube [the London underground]
chiavi,key / key / spanner
mossa,move / movement
finestra,window / windows / windowpane
suppongo,to suppose
destino,destination / destiny / fate
molta,a lot of / very / many
saltare,(to) come out / (to) pop (off) / breaks
correre,jog / let's / run
frega,to cheat / to pinch / nick or knock off / to polish
edificio,edifice / building / structure
colazione,breakfast
collo,neck / cervix / collar / neck
difesa,defence / protection / shelter
diro,I will say
vicini,near / close
fiducia,trust / confidence / reliance
aiutato,to help / assist
maggior,apocopic form of maggiore
avermi,to have
saprei,I would know
capisce,to understand
ristorante,diners / diner / restaurants
nomi,names
laboratorio,laboratory / lab / workshop / workroom
scegliere,(to) draft / go / decide
comando,command / charge / leadership / headquarters / control / drive
chiedi,to ask / to request
arte,art
meta,aim / goal / end / meta / destination
discorso,speech / speech / address / discourse / subject / matter
nove,nine
avra,will have
segnale,signal / sign
perfetta,perfect / perfect tense (f.)
fortunato,happy / lucky / happier
libri,books
carriera,career
blu,blue
cominciare,began / to strike up / to begin
muro,(I) brick up / (I) immure oneself / wall
tranne,except
proteggere,to protect
prendendo,taking
dubbio,uncertain / ambiguous / doubt
dati,(you) date back / (you) date / (you) date from
stazione,stop / station / terminal
emergenza,emergence / emergency
giustizia,justice / fairness / equity / law / justice / law enforcement
immediatamente,immediately / at once / directly
odore,scent / odor / smell
umani,human / humane / compassionate / human being
college,college
ascolti,listening / reception
contrario,contrary / opposite / alien / opposed / against / unfavourable / adverse
terzo,third party / third / thirdly
preoccupare,to worry / to trouble / to bother
locale,joint / business / haunt
mette,puts
faranno,(they) will get a fix / (they) will last / made
battaglia,battle / fight
aiutarla,to help / assist
diverse,to diverge
notato,to notice / to note
chiamate,to call
sceriffo,sheriff
sembrano,to seem; to look ; to appear / to sound / taste or feel
evitare,to avoid / to dodge / to ward off
spirito,alcohol / sparkle / wit / esprit / spirit / mind
seduto,sitting / seated
bianca,white (f.)
lingua,modern languages / tongue / language
dipartimento,bureau / department / district
controllato,controlled / self-controlled / restrained
massimo,chief; principal / maximum / maximum
praticamente,practically
riunione,meeting / gathering / reunion
po',a little
rumore,noise / sound / din
torta,cake / pie
guardami,look at me
dirò,I will say
accanto,passed / next / near
eroe,protagonist / hero / superhero's
turno,relay / ballot / shift
piccoli,small (m. pl.)
entrambe,both
dovremo,we will have to / we will owe / will have to
potrai,you'll be able / you will be able
londra,London
vedrai,see / watch / imagine
punti,points
fiori,to flourish / to flower / to bloom / to blossom
vederla,to see
persino,even / just
ovvio,trivial / obvious / banal
furgone,hearse / removal van / van
coppia,couple / pair
ridere,to laugh
inizia,to begin / to join / to incorporate
pausa,breaks / broken / broke
grave,grievous / slow / grave
vedete,you (pl.) see
memoria,cold / by heart / memoir
dovevi,where
aiutami,help me
tranquilla,calm / sober / tranquil
cosi',so / like this
naso,nose
andava,was going
nemico,enemy / hostile / antagonist
mangia,eats
chiudere,(to) to shut (down) / (to) heal over / (to) draw
felici,happy (pl.)
colonnello,colonel
palla,bummer / ball / drag
giovani,young (pl.)
nuove,new (f. pl.)
costa,rib / vein / coast / shore
laggiù,down there / down below / over there
scatola,box / carton / can
torniamo,we return
albero,tree
tribunale,court / judicature
razza,spoke / family / descent / ray / stingray / skate
anello,bands / ring / rings
prenda,first- / second- / third-person singular subjunctive present of prendere
idee,ideas
piede,foot
ferita,A wounded or injured person / injury / wound
ferito,A wounded or injured person
cerchi,circle
preoccupato,worried
verra,will come
sentimenti,feeling / emotion / sentiment / sensation / sense
arresto,arrest / stop / standstill
project,project
averla,shrike
